week_year,Dow Jones Commodity Index Grains
40-2012,316.32
41-2012,314.43
42-2012,318.22
43-2012,316.79
44-2012,313.63
45-2012,308.86
46-2012,298.13
47-2012,304.69
48-2012,307.36
49-2012,308.01
50-2012,305.52
51-2012,293.91
52-2012,290.7
53-2012,290.55
01-2013,284.85
02-2013,294.32
03-2013,297.51
04-2013,298.76
05-2013,302.36
06-2013,290.11
07-2013,288.67
08-2013,286.01
09-2013,290.98
10-2013,293.67
11-2013,288.95
12-2013,294.53
13-2013,272.81
14-2013,272.03
15-2013,269.77
16-2013,270.11
17-2013,280.89
18-2013,272.71
19-2013,280.74
20-2013,282.39
21-2013,285.35
22-2013,291.1
23-2013,275.6
24-2013,254.89
25-2013,253.85
26-2013,241.71
27-2013,243.25
28-2013,245.3
29-2013,247.78
30-2013,232.75
31-2013,225.94
32-2013,229.41
33-2013,240.15
34-2013,251.26
35-2013,244.59
36-2013,240.72
37-2013,238.87
38-2013,235.36
39-2013,233.03
40-2013,236.63
41-2013,232.28
42-2013,236.39
43-2013,230.12
44-2013,227.16
45-2013,233.1
46-2013,227.99
47-2013,233.84
48-2013,232.09
49-2013,235.24
50-2013,229.76
51-2013,230.51
52-2013,227.01
53-2013,225.63
01-2014,224.86
02-2014,227.11
03-2014,222.66
04-2014,224.57
05-2014,229.96
06-2014,232.06
07-2014,236.94
08-2014,242.05
09-2014,250.83
10-2014,250.84
11-2014,254
12-2014,256.03
13-2014,262.99
14-2014,262.3
15-2014,265.21
16-2014,260.46
17-2014,270.58
18-2014,266.72
19-2014,264.25
20-2014,255.02
21-2014,253.99
22-2014,249.37
23-2014,233.24
24-2014,221.13
25-2014,222.03
26-2014,211.17
27-2014,204.15
28-2014,195.99
29-2014,190.18
30-2014,193.32
31-2014,191.84
32-2014,192.79
33-2014,193.81
34-2014,190.19
35-2014,190.25
36-2014,181.82
37-2014,178.65
38-2014,170.25
39-2014,167.44
40-2014,175.29
41-2014,181.13
42-2014,181.44
43-2014,187.34
44-2014,186.74
45-2014,194.36
46-2014,192.71
47-2014,196.11
48-2014,192.76
49-2014,199.15
50-2014,201.36
51-2014,204.78
52-2014,201.33
53-2014,197.11
01-2015,199.28
02-2015,189.86
03-2015,188.59
04-2015,182.95
05-2015,185.32
06-2015,188.25
07-2015,189.85
08-2015,188.03
09-2015,187.36
10-2015,187.79
11-2015,183.18
12-2015,188.39
13-2015,187.71
14-2015,185.72
15-2015,183.33
16-2015,183.62
17-2015,182.36
18-2015,181.4
19-2015,178.48
20-2015,178.58
21-2015,173.9
22-2015,177.56
23-2015,178
24-2015,178.16
25-2015,182.21
26-2015,201.34
27-2015,197.16
28-2015,199.89
29-2015,190.79
30-2015,179.02
31-2015,180.99
32-2015,175.44
33-2015,176.01
34-2015,172.08
35-2015,171.17
36-2015,170.89
37-2015,175.94
38-2015,174.29
39-2015,178.01
40-2015,179.51
41-2015,178.69
42-2015,177.59
43-2015,174.82
44-2015,176.68
45-2015,170.94
46-2015,170.01
47-2015,172.53
48-2015,172.79
49-2015,173.22
50-2015,170.8
51-2015,171.08
52-2015,169.01
53-2015,168.43
01-2016,167.44
02-2016,170.01
03-2016,171.42
04-2016,169.93
05-2016,171.01
06-2016,170.24
07-2016,171.83
08-2016,167.92
09-2016,167.52
10-2016,172.02
11-2016,172.86
12-2016,174.36
13-2016,172.04
14-2016,172.27
15-2016,180.06
16-2016,190.95
17-2016,189.93
18-2016,184.28
19-2016,192.52
20-2016,192.65
21-2016,197.16
22-2016,204.57
23-2016,210.43
24-2016,204.68
25-2016,195.67
26-2016,194.86
27-2016,177.86
28-2016,184.42
29-2016,175
30-2016,171.11
31-2016,167.01
32-2016,173.69
33-2016,178.63
34-2016,172.15
35-2016,165.93
36-2016,172.14
37-2016,168.01
38-2016,171.83
39-2016,167.85
40-2016,170.13
41-2016,173.51
42-2016,175.71
43-2016,180.08
44-2016,175.15
45-2016,176.88
46-2016,176.14
47-2016,181.97
48-2016,176.67
49-2016,179.42
50-2016,180.79
51-2016,175.36
52-2016,177.11
53-2016,176.96
01-2017,178.27
02-2017,183.5
03-2017,187.26
04-2017,183.87
05-2017,182.89
06-2017,191.2
07-2017,187.86
08-2017,184.89
09-2017,188.05
10-2017,181.64
11-2017,181.26
12-2017,176.25
13-2017,174.72
14-2017,174.11
15-2017,179.88
16-2017,175.68
17-2017,176.59
18-2017,179.57
19-2017,177.96
20-2017,177.35
21-2017,175.25
22-2017,173.96
23-2017,181.05
24-2017,183.36
25-2017,175.11
26-2017,185.25
27-2017,193.46
28-2017,188.02
29-2017,189.81
30-2017,186.96
31-2017,178.65
32-2017,179.49
33-2017,175.84
34-2017,174.15
35-2017,175.17
36-2017,176.61
37-2017,177.59
38-2017,179.01
39-2017,177.54
40-2017,177.03
41-2017,180.61
42-2017,176.41
43-2017,176.91
44-2017,176.8
45-2017,179.1
46-2017,179.37
47-2017,179.03
48-2017,180
49-2017,177.73
50-2017,175.31
51-2017,174.77
52-2017,174.91
01-2018,176.18
02-2018,173.7
03-2018,176.36
04-2018,179.04
05-2018,179.8
06-2018,182.29
07-2018,188.81
08-2018,189.61
09-2018,196.28
10-2018,193.21
11-2018,191.46
12-2018,187.87
13-2018,190.27
14-2018,191.9
15-2018,196.19
16-2018,191.61
17-2018,196.7
18-2018,197.93
19-2018,191.12
20-2018,192.98
21-2018,199.45
22-2018,193.9
23-2018,188.45
24-2018,181.46
25-2018,178.5
26-2018,173.56
27-2018,176.25
28-2018,166.12
29-2018,172.44
30-2018,176.55
31-2018,181.14
32-2018,177.45
33-2018,182.94
34-2018,174.05
35-2018,173.69
36-2018,171.86
37-2018,168.29
38-2018,171.43
39-2018,170.3
40-2018,175.5
41-2018,177.18
42-2018,174.82
43-2018,172.91
44-2018,176.8
45-2018,177.37
46-2018,178.24
47-2018,175.67
48-2018,178.73
49-2018,183.3
50-2018,182.64
51-2018,179.1
52-2018,178.24
53-2018,177.63
01-2019,182.57
02-2019,179.72
03-2019,181.82
04-2019,182.28
05-2019,182.13
06-2019,180.86
07-2019,181.56
08-2019,179.25
09-2019,176.6
10-2019,170.42
11-2019,175.05
12-2019,177.13
13-2019,172.91
14-2019,174.2
15-2019,175.99
16-2019,171.27
17-2019,167.28
18-2019,164.77
19-2019,160.78
20-2019,171.11
21-2019,173.77
22-2019,183.92
23-2019,181.16
24-2019,196.44
25-2019,194.21
26-2019,184.48
27-2019,186.65
28-2019,189.25
29-2019,183.95
30-2019,184.12
31-2019,178.16
32-2019,175.99
33-2019,172.59
34-2019,171.95
35-2019,171.58
36-2019,169.08
37-2019,177.06
38-2019,175.8
39-2019,179.91
