week_year,Euro Stoxx Select Dividend 30
40-2012,1447.6
41-2012,1413.46
42-2012,1442.32
43-2012,1414.13
44-2012,1421.05
45-2012,1373.26
46-2012,1330.73
47-2012,1385.51
48-2012,1404.69
49-2012,1417
50-2012,1440.18
51-2012,1446.72
52-2012,1439.29
53-2012,1442.5
01-2013,1467.16
02-2013,1470.91
03-2013,1484.64
04-2013,1474.54
05-2013,1426.84
06-2013,1433.01
07-2013,1430.29
08-2013,1438.38
09-2013,1422.08
10-2013,1469.39
11-2013,1483.56
12-2013,1471.7
13-2013,1451.15
14-2013,1432.58
15-2013,1458.74
16-2013,1431
17-2013,1485.14
18-2013,1483.18
19-2013,1489.65
20-2013,1489.8
21-2013,1479.56
22-2013,1456.06
23-2013,1440.45
24-2013,1438.5
25-2013,1346.2
26-2013,1395.4
27-2013,1403.53
28-2013,1424.77
29-2013,1445.16
30-2013,1464.64
31-2013,1492.88
32-2013,1501.98
33-2013,1504.58
34-2013,1493.69
35-2013,1475.92
36-2013,1506.38
37-2013,1560.09
38-2013,1552.84
39-2013,1554.79
40-2013,1562.32
41-2013,1598.42
42-2013,1641.18
43-2013,1627.9
44-2013,1636.92
45-2013,1626.96
46-2013,1645.91
47-2013,1644.7
48-2013,1644.33
49-2013,1584.1
50-2013,1568.86
51-2013,1611.64
52-2013,1634.99
53-2013,1638.69
01-2014,1640.37
02-2014,1668.81
03-2014,1685.25
04-2014,1638.67
05-2014,1613.33
06-2014,1674.65
07-2014,1708.3
08-2014,1737.33
09-2014,1716.91
10-2014,1732.72
11-2014,1712.64
12-2014,1713.94
13-2014,1773.45
14-2014,1750.98
15-2014,1725.66
16-2014,1777.34
17-2014,1799.8
18-2014,1782.97
19-2014,1813.35
20-2014,1797.97
21-2014,1825.65
22-2014,1821.92
23-2014,1862.98
24-2014,1848.62
25-2014,1857.52
26-2014,1830.25
27-2014,1791.95
28-2014,1764.04
29-2014,1787.57
30-2014,1797.9
31-2014,1739.78
32-2014,1702.9
33-2014,1746.61
34-2014,1786.27
35-2014,1777.82
36-2014,1790.01
37-2014,1764.17
38-2014,1753.41
39-2014,1769.45
40-2014,1695.9
41-2014,1651.63
42-2014,1653.33
43-2014,1703.61
44-2014,1694.79
45-2014,1732.02
46-2014,1738.32
47-2014,1792.92
48-2014,1802.67
49-2014,1773.42
50-2014,1712.71
51-2014,1795.07
52-2014,1765.24
53-2014,1767.96
01-2015,1713.82
02-2015,1734.97
03-2015,1824.59
04-2015,1882.98
05-2015,1906.03
06-2015,1893.59
07-2015,1929.26
08-2015,1978.17
09-2015,1973.04
10-2015,1988.71
11-2015,1989.14
12-2015,2006.99
13-2015,2003.04
14-2015,2030.5
15-2015,2066.3
16-2015,2017.48
17-2015,1954.23
18-2015,1913.25
19-2015,1918.51
20-2015,1957.49
21-2015,1952.07
22-2015,1905.32
23-2015,1872.73
24-2015,1831.22
25-2015,1918.57
26-2015,1863.4
27-2015,1795.13
28-2015,1937.5
29-2015,1948.17
30-2015,1923.24
31-2015,1963.42
32-2015,1891.82
33-2015,1876.89
34-2015,1744.03
35-2015,1761.59
36-2015,1801.81
37-2015,1790.67
38-2015,1731.12
39-2015,1747.01
40-2015,1815.29
41-2015,1795.77
42-2015,1838.76
43-2015,1892.3
44-2015,1904.15
45-2015,1898.3
46-2015,1911.09
47-2015,1924.04
48-2015,1925.38
49-2015,1841.18
50-2015,1820.19
51-2015,1845.95
52-2015,1852.95
53-2015,1848.46
01-2016,1760.48
02-2016,1754.06
03-2016,1713.74
04-2016,1773.74
05-2016,1733.1
06-2016,1601.85
07-2016,1727.12
08-2016,1722.77
09-2016,1791.56
10-2016,1760.75
11-2016,1829.87
12-2016,1783.69
13-2016,1802.47
14-2016,1710.39
15-2016,1817.39
16-2016,1850.58
17-2016,1832.72
18-2016,1758.38
19-2016,1744.74
20-2016,1739.95
21-2016,1822.25
22-2016,1801.01
23-2016,1783.24
24-2016,1680.63
25-2016,1802.81
26-2016,1706.13
27-2016,1659.23
28-2016,1763.77
29-2016,1760.69
30-2016,1768.24
31-2016,1757.07
32-2016,1828.38
33-2016,1790.75
34-2016,1785.14
35-2016,1798.81
36-2016,1836.9
37-2016,1771.5
38-2016,1822.84
39-2016,1800.34
40-2016,1813.66
41-2016,1806.07
42-2016,1870.59
43-2016,1877.51
44-2016,1818.96
45-2016,1868.48
46-2016,1855.94
47-2016,1855.11
48-2016,1853.92
49-2016,1940.72
50-2016,1980.92
51-2016,1983.66
52-2016,1988.65
53-2016,1993.99
01-2017,2015.3
02-2017,2011.18
03-2017,1998.63
04-2017,2009.25
05-2017,1978.62
06-2017,1975.85
07-2017,1990.03
08-2017,1981.06
09-2017,2031.7
10-2017,2033.64
11-2017,2052.74
12-2017,2043.54
13-2017,2084.12
14-2017,2061.46
15-2017,2042.02
16-2017,2031.76
17-2017,2094.87
18-2017,2146.65
19-2017,2123.24
20-2017,2101.32
21-2017,2106.79
22-2017,2122.1
23-2017,2121.13
24-2017,2083.21
25-2017,2072.54
26-2017,2025.14
27-2017,2042.68
28-2017,2089.85
29-2017,2059.11
30-2017,2057.97
31-2017,2098.96
32-2017,2042.87
33-2017,2072.9
34-2017,2062.39
35-2017,2059.59
36-2017,2060
37-2017,2094.1
38-2017,2101.54
39-2017,2135.02
40-2017,2140.78
41-2017,2141.18
42-2017,2147.18
43-2017,2172.03
44-2017,2180.04
45-2017,2156.25
46-2017,2118.7
47-2017,2129.74
48-2017,2122.83
49-2017,2147.56
50-2017,2128.7
51-2017,2115.16
52-2017,2100.02
01-2018,2154.02
02-2018,2166.18
03-2018,2175.26
04-2018,2174.47
05-2018,2120.24
06-2018,2020.73
07-2018,2081.06
08-2018,2095
09-2018,2025
10-2018,2064.13
11-2018,2048.83
12-2018,1975.02
13-2018,2012.22
14-2018,2037.44
15-2018,2059.99
16-2018,2099.13
17-2018,2110.33
18-2018,2104.66
19-2018,2114.59
20-2018,2111.8
21-2018,2061.81
22-2018,2016.33
23-2018,1999.89
24-2018,2014.58
25-2018,1989.51
26-2018,1969.55
27-2018,2004.49
28-2018,2002.16
29-2018,2005.26
30-2018,2039.9
31-2018,2036.59
32-2018,1998.81
33-2018,1968.51
34-2018,1982.85
35-2018,1964.7
36-2018,1944.69
37-2018,1962.15
38-2018,2005.96
39-2018,1978.76
40-2018,1964.9
41-2018,1886.78
42-2018,1913.07
43-2018,1873.06
44-2018,1908.51
45-2018,1947.69
46-2018,1922.12
47-2018,1884.6
48-2018,1905.5
49-2018,1837.55
50-2018,1849.97
51-2018,1795.54
52-2018,1787.21
53-2018,1795.71
01-2019,1822.45
02-2019,1841.56
03-2019,1878.99
04-2019,1887.27
05-2019,1880.26
06-2019,1883.67
07-2019,1908.73
08-2019,1923.37
09-2019,1951.11
10-2019,1938.16
11-2019,2008.65
12-2019,1949.77
13-2019,1994.66
14-2019,2025.83
15-2019,2052.8
16-2019,2076.79
17-2019,2051.43
18-2019,2011.08
19-2019,1913.94
20-2019,1922.44
21-2019,1902.65
22-2019,1859.92
23-2019,1899.7
24-2019,1894.06
25-2019,1909.59
26-2019,1929
27-2019,1944.76
28-2019,1943.25
29-2019,1924.77
30-2019,1936.42
31-2019,1838.54
32-2019,1826.68
33-2019,1851.47
34-2019,1834.53
35-2019,1868.94
36-2019,1921.23
37-2019,1961.94
38-2019,1958.98
39-2019,1975.73
