week_year,S&P500
40-2012,1460.93
41-2012,1428.59
42-2012,1433.19
43-2012,1411.94
44-2012,1414.2
45-2012,1379.85
46-2012,1359.88
47-2012,1409.15
48-2012,1416.18
49-2012,1418.07
50-2012,1413.58
51-2012,1430.15
52-2012,1402.43
53-2012,1426.19
01-2013,1461.89
02-2013,1470.68
03-2013,1485.98
04-2013,1500.18
05-2013,1495.71
06-2013,1517.01
07-2013,1519.79
08-2013,1487.85
09-2013,1525.2
10-2013,1556.22
11-2013,1552.1
12-2013,1551.69
13-2013,1562.17
14-2013,1563.07
15-2013,1552.36
16-2013,1562.5
17-2013,1593.61
18-2013,1617.5
19-2013,1633.77
20-2013,1666.29
21-2013,1649.6
22-2013,1640.42
23-2013,1642.81
24-2013,1639.04
25-2013,1573.09
26-2013,1614.96
27-2013,1640.46
28-2013,1682.5
29-2013,1695.53
30-2013,1685.33
31-2013,1707.14
32-2013,1689.47
33-2013,1646.06
34-2013,1656.78
35-2013,1632.97
36-2013,1671.71
37-2013,1697.6
38-2013,1701.84
39-2013,1681.55
40-2013,1676.12
41-2013,1710.14
42-2013,1744.66
43-2013,1762.11
44-2013,1767.93
45-2013,1771.89
46-2013,1791.53
47-2013,1802.48
48-2013,1800.9
49-2013,1808.37
50-2013,1786.54
51-2013,1827.99
52-2013,1841.07
53-2013,1848.36
01-2014,1837.88
02-2014,1838.88
03-2014,1843.8
04-2014,1792.5
05-2014,1755.2
06-2014,1819.75
07-2014,1840.76
08-2014,1845.12
09-2014,1873.91
10-2014,1867.63
11-2014,1872.25
12-2014,1865.62
13-2014,1885.52
14-2014,1851.96
15-2014,1842.98
16-2014,1879.55
17-2014,1878.33
18-2014,1867.72
19-2014,1897.45
20-2014,1872.83
21-2014,1911.91
22-2014,1924.24
23-2014,1950.79
24-2014,1941.99
25-2014,1949.98
26-2014,1973.32
27-2014,1963.71
28-2014,1973.28
29-2014,1983.53
30-2014,1969.95
31-2014,1920.21
32-2014,1933.75
33-2014,1981.6
34-2014,2000.02
35-2014,2002.28
36-2014,1988.44
37-2014,1998.98
38-2014,1982.77
39-2014,1972.29
40-2014,1935.1
41-2014,1877.7
42-2014,1941.28
43-2014,1985.05
44-2014,2012.1
45-2014,2039.68
46-2014,2051.8
47-2014,2067.03
48-2014,2066.55
49-2014,2059.82
50-2014,1972.74
51-2014,2082.17
52-2014,2080.35
53-2014,2058.9
01-2015,2025.9
02-2015,2011.27
03-2015,2032.12
04-2015,2002.16
05-2015,2041.51
06-2015,2068.53
07-2015,2099.68
08-2015,2113.86
09-2015,2098.53
10-2015,2040.24
11-2015,2099.5
12-2015,2061.05
13-2015,2059.69
14-2015,2081.9
15-2015,2106.63
16-2015,2107.96
17-2015,2106.85
18-2015,2080.15
19-2015,2098.48
20-2015,2125.85
21-2015,2123.48
22-2015,2114.07
23-2015,2105.2
24-2015,2100.44
25-2015,2108.58
26-2015,2077.42
27-2015,2046.68
28-2015,2107.4
29-2015,2114.15
30-2015,2108.57
31-2015,2099.84
32-2015,2086.05
33-2015,2079.61
34-2015,1940.51
35-2015,1948.86
36-2015,1942.04
37-2015,1995.31
38-2015,1938.76
39-2015,1920.03
40-2015,1995.83
41-2015,1994.24
42-2015,2018.94
43-2015,2090.35
44-2015,2102.31
45-2015,2075
46-2015,2083.58
47-2015,2088.87
48-2015,2079.51
49-2015,2047.62
50-2015,2073.07
51-2015,2064.29
52-2015,2063.36
53-2015,2043.94
01-2016,1943.09
02-2016,1921.84
03-2016,1868.99
04-2016,1893.36
05-2016,1915.45
06-2016,1829.08
07-2016,1917.83
08-2016,1951.7
09-2016,1993.4
10-2016,1989.57
11-2016,2040.59
12-2016,2035.94
13-2016,2059.74
14-2016,2041.91
15-2016,2082.78
16-2016,2091.48
17-2016,2075.81
18-2016,2050.63
19-2016,2064.11
20-2016,2040.04
21-2016,2090.1
22-2016,2105.26
23-2016,2115.48
24-2016,2077.99
25-2016,2113.32
26-2016,2098.86
27-2016,2097.9
28-2016,2163.75
29-2016,2165.17
30-2016,2170.06
31-2016,2164.25
32-2016,2185.79
33-2016,2187.02
34-2016,2172.47
35-2016,2170.86
36-2016,2181.3
37-2016,2147.26
38-2016,2177.18
39-2016,2151.13
40-2016,2160.77
41-2016,2132.55
42-2016,2141.34
43-2016,2133.04
44-2016,2088.66
45-2016,2167.48
46-2016,2187.12
47-2016,2204.72
48-2016,2191.08
49-2016,2246.19
50-2016,2262.03
51-2016,2260.96
52-2016,2249.26
53-2016,2238.83
01-2017,2276.98
02-2017,2274.64
03-2017,2271.31
04-2017,2294.69
05-2017,2297.42
06-2017,2316.1
07-2017,2351.16
08-2017,2367.34
09-2017,2383.12
10-2017,2372.6
11-2017,2378.25
12-2017,2343.98
13-2017,2362.72
14-2017,2355.54
15-2017,2328.95
16-2017,2348.69
17-2017,2384.2
18-2017,2399.29
19-2017,2390.9
20-2017,2381.73
21-2017,2415.82
22-2017,2439.07
23-2017,2431.77
24-2017,2433.15
25-2017,2438.3
26-2017,2423.41
27-2017,2425.18
28-2017,2459.27
29-2017,2472.54
30-2017,2472.1
31-2017,2476.83
32-2017,2441.32
33-2017,2425.55
34-2017,2443.05
35-2017,2476.55
36-2017,2461.43
37-2017,2500.23
38-2017,2502.22
39-2017,2519.36
40-2017,2549.33
41-2017,2553.17
42-2017,2575.21
43-2017,2581.07
44-2017,2587.84
45-2017,2582.3
46-2017,2578.85
47-2017,2602.42
48-2017,2642.22
49-2017,2651.5
50-2017,2675.81
51-2017,2683.34
52-2017,2673.61
01-2018,2743.15
02-2018,2786.24
03-2018,2810.3
04-2018,2872.87
05-2018,2762.13
06-2018,2619.55
07-2018,2732.22
08-2018,2747.3
09-2018,2691.25
10-2018,2786.57
11-2018,2752.01
12-2018,2588.26
13-2018,2640.87
14-2018,2604.47
15-2018,2656.3
16-2018,2670.14
17-2018,2669.91
18-2018,2663.42
19-2018,2727.72
20-2018,2712.97
21-2018,2721.33
22-2018,2734.62
23-2018,2779.03
24-2018,2779.66
25-2018,2754.88
26-2018,2718.37
27-2018,2759.82
28-2018,2801.31
29-2018,2801.83
30-2018,2818.82
31-2018,2840.35
32-2018,2833.28
33-2018,2850.13
34-2018,2874.69
35-2018,2901.52
36-2018,2871.68
37-2018,2904.98
38-2018,2929.67
39-2018,2913.98
40-2018,2885.57
41-2018,2767.13
42-2018,2767.78
43-2018,2658.69
44-2018,2723.06
45-2018,2781.01
46-2018,2736.27
47-2018,2632.56
48-2018,2760.17
49-2018,2633.08
50-2018,2599.95
51-2018,2416.62
52-2018,2485.74
53-2018,2506.85
01-2019,2549.69
02-2019,2582.61
03-2019,2670.71
04-2019,2643.85
05-2019,2724.87
06-2019,2709.8
07-2019,2775.6
08-2019,2796.11
09-2019,2792.81
10-2019,2783.3
11-2019,2832.94
12-2019,2798.36
13-2019,2867.19
14-2019,2895.77
15-2019,2905.58
16-2019,2907.97
17-2019,2943.03
18-2019,2932.47
19-2019,2811.87
20-2019,2840.23
21-2019,2826.06
22-2019,2744.45
23-2019,2886.73
24-2019,2889.67
25-2019,2945.35
26-2019,2964.33
27-2019,2975.95
28-2019,3014.3
29-2019,2985.03
30-2019,3020.97
31-2019,2844.74
32-2019,2883.75
33-2019,2923.65
34-2019,2878.38
35-2019,2926.46
36-2019,2978.43
37-2019,2997.96
38-2019,2991.78
39-2019,2976.74
