week_year,STOXX Europe Leaders
40-2012,126.27
41-2012,124.46
42-2012,126.11
43-2012,125.43
44-2012,126.05
45-2012,123.04
46-2012,120.01
47-2012,123.46
48-2012,124.88
49-2012,126.7
50-2012,127.24
51-2012,128.27
52-2012,127.18
53-2012,127.36
01-2013,129.04
02-2013,127.85
03-2013,128.07
04-2013,128.05
05-2013,125.92
06-2013,127.11
07-2013,127.92
08-2013,128.66
09-2013,129.06
10-2013,130.96
11-2013,132.9
12-2013,133.77
13-2013,134.21
14-2013,133.03
15-2013,134.73
16-2013,132.97
17-2013,136.25
18-2013,137.57
19-2013,139.04
20-2013,140.26
21-2013,138.4
22-2013,134.66
23-2013,132.58
24-2013,132.7
25-2013,124.87
26-2013,129.6
27-2013,131.91
28-2013,134.17
29-2013,136.55
30-2013,135.8
31-2013,138.05
32-2013,137.85
33-2013,137.43
34-2013,137
35-2013,135.9
36-2013,136.95
37-2013,140.26
38-2013,140.38
39-2013,140.19
40-2013,139.51
41-2013,141.02
42-2013,144.51
43-2013,145.74
44-2013,145.92
45-2013,146.4
46-2013,146.52
47-2013,146.5
48-2013,146.29
49-2013,143.7
50-2013,142.65
51-2013,147.32
52-2013,148.41
53-2013,148.85
01-2014,148.01
02-2014,148.87
03-2014,151.04
04-2014,147.36
05-2014,144.81
06-2014,149.97
07-2014,152.28
08-2014,154.77
09-2014,154.3
10-2014,152.37
11-2014,150.34
12-2014,149.86
13-2014,152.65
14-2014,152.12
15-2014,149.82
16-2014,153.9
17-2014,156.5
18-2014,155.42
19-2014,158.67
20-2014,156.69
21-2014,159.51
22-2014,160.36
23-2014,163.08
24-2014,162.18
25-2014,162.57
26-2014,162.62
27-2014,160.72
28-2014,160.09
29-2014,162.98
30-2014,163.05
31-2014,157.61
32-2014,155.75
33-2014,158.66
34-2014,162.67
35-2014,162.68
36-2014,162.88
37-2014,160.94
38-2014,161.9
39-2014,162.54
40-2014,156.78
41-2014,153.27
42-2014,154.27
43-2014,158.17
44-2014,158.91
45-2014,162.6
46-2014,162.6
47-2014,165.73
48-2014,165.79
49-2014,162.32
50-2014,156.06
51-2014,163.02
52-2014,161.24
53-2014,161.58
01-2015,158.34
02-2015,161.73
03-2015,170.93
04-2015,178.1
05-2015,179.07
06-2015,178.24
07-2015,178.93
08-2015,181.6
09-2015,183.12
10-2015,185.31
11-2015,187.79
12-2015,189.13
13-2015,188.39
14-2015,191.05
15-2015,193.45
16-2015,190.36
17-2015,183.93
18-2015,178.64
19-2015,180.18
20-2015,184.82
21-2015,184.67
22-2015,178.97
23-2015,177.23
24-2015,174.8
25-2015,179.98
26-2015,175.12
27-2015,170.08
28-2015,182.04
29-2015,182.26
30-2015,180.5
31-2015,184.11
32-2015,177.43
33-2015,176.52
34-2015,164.06
35-2015,165.29
36-2015,169.36
37-2015,167.44
38-2015,161.4
39-2015,162.31
40-2015,168.42
41-2015,166.64
42-2015,167.96
43-2015,172.49
44-2015,174.96
45-2015,172.69
46-2015,173.51
47-2015,173.83
48-2015,174.01
49-2015,167.92
50-2015,166.41
51-2015,166.21
52-2015,167.23
53-2015,166.6
01-2016,160.41
02-2016,158.04
03-2016,152.51
04-2016,157.08
05-2016,155.7
06-2016,143.45
07-2016,153.54
08-2016,152.75
09-2016,157.29
10-2016,155.3
11-2016,160.62
12-2016,159.14
13-2016,160
14-2016,156.97
15-2016,161.87
16-2016,161.35
17-2016,161.32
18-2016,157.69
19-2016,156.42
20-2016,155.59
21-2016,159.31
22-2016,156.7
23-2016,157.07
24-2016,147.96
25-2016,156.92
26-2016,152.89
27-2016,148.75
28-2016,154.11
29-2016,154.56
30-2016,155.05
31-2016,154.36
32-2016,157.11
33-2016,154.75
34-2016,154.07
35-2016,155.08
36-2016,158.75
37-2016,153.1
38-2016,156.63
39-2016,154.79
40-2016,151.84
41-2016,151.25
42-2016,155.25
43-2016,153.9
44-2016,149.18
45-2016,146.76
46-2016,147.49
47-2016,147.23
48-2016,146.1
49-2016,150.29
50-2016,153.36
51-2016,154.49
52-2016,155.72
53-2016,156.21
01-2017,156.91
02-2017,156.1
03-2017,153.54
04-2017,152.22
05-2017,152.31
06-2017,154.93
07-2017,155.39
08-2017,154.92
09-2017,157.02
10-2017,155.99
11-2017,158.83
12-2017,159.44
13-2017,161.26
14-2017,161.26
15-2017,161.46
16-2017,158.73
17-2017,160.12
18-2017,165.18
19-2017,166.19
20-2017,165.88
21-2017,167.37
22-2017,169.43
23-2017,168.58
24-2017,167.9
25-2017,166.82
26-2017,161.77
27-2017,161.28
28-2017,163.95
29-2017,162.34
30-2017,161.27
31-2017,164.18
32-2017,160.77
33-2017,161.73
34-2017,160.82
35-2017,161.39
36-2017,160.35
37-2017,160.91
38-2017,160.88
39-2017,162.79
40-2017,162.92
41-2017,163.79
42-2017,163.51
43-2017,164.53
44-2017,165.86
45-2017,165.17
46-2017,162.58
47-2017,162.87
48-2017,163.02
49-2017,166.14
50-2017,165.5
51-2017,165.62
52-2017,165.28
01-2018,167.83
02-2018,167.42
03-2018,167.74
04-2018,167.85
05-2018,164.24
06-2018,156.61
07-2018,160.57
08-2018,162.64
09-2018,157.33
10-2018,162.28
11-2018,160.99
12-2018,154.41
13-2018,156.92
14-2018,157.65
15-2018,159.78
16-2018,162.1
17-2018,163.69
18-2018,163.28
19-2018,164.05
20-2018,162.93
21-2018,159.69
22-2018,157.98
23-2018,157.35
24-2018,158.28
25-2018,157.54
26-2018,155.55
27-2018,157.82
28-2018,157.15
29-2018,156
30-2018,158.59
31-2018,158.94
32-2018,157.59
33-2018,155.05
34-2018,156
35-2018,154.72
36-2018,153.2
37-2018,153.98
38-2018,156.99
39-2018,155.15
40-2018,154.12
41-2018,148.6
42-2018,151.06
43-2018,148.12
44-2018,152.22
45-2018,155.55
46-2018,151.37
47-2018,150.36
48-2018,151.44
49-2018,147.58
50-2018,147.82
51-2018,143.95
52-2018,143.16
53-2018,144
01-2019,146.98
02-2019,149.37
03-2019,151.46
04-2019,151.19
05-2019,150.4
06-2019,149.47
07-2019,151.71
08-2019,152.21
09-2019,153.98
10-2019,153.25
11-2019,157.91
12-2019,155.39
13-2019,156.03
14-2019,156.84
15-2019,157.01
16-2019,156.89
17-2019,156.03
18-2019,154.36
19-2019,150.5
20-2019,152.76
21-2019,153.01
22-2019,150.09
23-2019,153.38
24-2019,153.32
25-2019,154.09
26-2019,153.44
27-2019,154.44
28-2019,154.09
29-2019,152.32
30-2019,153.72
31-2019,147.05
32-2019,146.44
33-2019,148.31
34-2019,147.09
35-2019,150.51
36-2019,151.93
37-2019,154.13
38-2019,155.61
39-2019,157.13
